id_transazione,id_store,data,prodotto,quantita,unite_price,totale
1,STORE_002,2025-02-20,Mouse,7,19.99,139.93
2,STORE_002,2025-02-06,Mouse,6,19.99,119.94
3,STORE_002,2025-02-18,Laptop,8,899.99,7199.92
4,STORE_002,2025-02-15,Laptop,4,899.99,3599.96
5,STORE_003,2025-02-25,Mouse,2,19.99,39.98
6,STORE_001,2025-02-01,Cuffie,4,29.99,119.96
7,STORE_003,2025-02-26,Tastiera,4,49.99,199.96
8,STORE_003,2025-02-02,Cuffie,9,29.99,269.91
9,STORE_001,2025-02-22,Monitor,4,199.99,799.96
10,STORE_002,2025-02-28,Monitor,6,199.99,1199.94
11,STORE_001,2025-02-09,Cuffie,7,29.99,209.93
12,STORE_003,2025-02-09,Laptop,8,899.99,7199.92
13,STORE_003,2025-02-21,Monitor,7,199.99,1399.93
14,STORE_002,2025-02-23,Cuffie,6,29.99,179.94
15,STORE_001,2025-02-25,Mouse,8,19.99,159.92
16,STORE_001,2025-02-15,Tastiera,2,49.99,99.98
17,STORE_003,2025-02-12,Cuffie,2,29.99,59.98
18,STORE_001,2025-02-08,Tastiera,7,49.99,349.93
19,STORE_003,2025-02-26,Laptop,7,899.99,6299.93
20,STORE_002,2025-02-16,Cuffie,5,29.99,149.95
21,STORE_001,2025-02-13,Laptop,1,899.99,899.99
22,STORE_002,2025-02-03,Monitor,4,199.99,799.96
23,STORE_002,2025-02-01,Tastiera,9,49.99,449.91
24,STORE_002,2025-02-01,Tastiera,6,49.99,299.94
25,STORE_002,2025-02-10,Monitor,4,199.99,799.96
26,STORE_003,2025-02-10,Cuffie,4,29.99,119.96
27,STORE_001,2025-02-13,Mouse,9,19.99,179.91
28,STORE_001,2025-02-11,Mouse,8,19.99,159.92
29,STORE_002,2025-02-06,Tastiera,1,49.99,49.99
30,STORE_001,2025-02-04,Cuffie,2,29.99,59.98
31,STORE_002,2025-02-06,Tastiera,8,49.99,399.92
32,STORE_001,2025-02-06,Tastiera,3,49.99,149.97
33,STORE_002,2025-02-19,Laptop,4,899.99,3599.96
34,STORE_002,2025-02-03,Mouse,6,19.99,119.94
35,STORE_003,2025-02-27,Cuffie,6,29.99,179.94
36,STORE_001,2025-02-08,Tastiera,1,49.99,49.99
37,STORE_003,2025-02-20,Cuffie,3,29.99,89.97
38,STORE_003,2025-02-18,Cuffie,6,29.99,179.94
39,STORE_001,2025-02-20,Cuffie,9,29.99,269.91
40,STORE_003,2025-02-10,Mouse,8,19.99,159.92
41,STORE_002,2025-02-20,Monitor,8,199.99,1599.92
42,STORE_002,2025-02-23,Mouse,5,19.99,99.95
43,STORE_001,2025-02-15,Cuffie,6,29.99,179.94
44,STORE_002,2025-02-03,Mouse,2,19.99,39.98
45,STORE_001,2025-02-20,Laptop,9,899.99,8099.91
46,STORE_003,2025-02-18,Mouse,7,19.99,139.93
47,STORE_002,2025-02-26,Cuffie,9,29.99,269.91
48,STORE_003,2025-02-09,Mouse,5,19.99,99.95
49,STORE_002,2025-02-17,Laptop,3,899.99,2699.97
50,STORE_002,2025-02-19,Laptop,8,899.99,7199.92
51,STORE_001,2025-02-04,Mouse,2,19.99,39.98
52,STORE_001,2025-02-08,Cuffie,7,29.99,209.93
53,STORE_001,2025-02-27,Cuffie,3,29.99,89.97
54,STORE_001,2025-02-10,Tastiera,7,49.99,349.93
55,STORE_003,2025-02-28,Cuffie,6,29.99,179.94
56,STORE_001,2025-02-11,Monitor,7,199.99,1399.93
57,STORE_003,2025-02-19,Cuffie,1,29.99,29.99
58,STORE_002,2025-02-08,Monitor,4,199.99,799.96
59,STORE_003,2025-02-10,Monitor,3,199.99,599.97
60,STORE_002,2025-02-16,Tastiera,3,49.99,149.97
61,STORE_002,2025-02-08,Tastiera,8,49.99,399.92
62,STORE_003,2025-02-18,Cuffie,6,29.99,179.94
63,STORE_001,2025-02-27,Cuffie,6,29.99,179.94
64,STORE_003,2025-02-21,Monitor,1,199.99,199.99
65,STORE_003,2025-02-14,Tastiera,1,49.99,49.99
66,STORE_002,2025-02-13,Tastiera,4,49.99,199.96
67,STORE_002,2025-02-27,Cuffie,8,29.99,239.92
68,STORE_001,2025-02-15,Laptop,2,899.99,1799.98
69,STORE_001,2025-02-28,Laptop,9,899.99,8099.91
70,STORE_001,2025-02-08,Laptop,3,899.99,2699.97
71,STORE_002,2025-02-21,Tastiera,6,49.99,299.94
72,STORE_001,2025-02-16,Laptop,1,899.99,899.99
73,STORE_003,2025-02-08,Laptop,2,899.99,1799.98
74,STORE_003,2025-02-09,Cuffie,1,29.99,29.99
75,STORE_001,2025-02-27,Cuffie,8,29.99,239.92
76,STORE_001,2025-02-17,Mouse,8,19.99,159.92
77,STORE_003,2025-02-03,Laptop,6,899.99,5399.94
78,STORE_001,2025-02-24,Monitor,9,199.99,1799.91
79,STORE_002,2025-02-21,Laptop,2,899.99,1799.98
80,STORE_002,2025-02-04,Laptop,6,899.99,5399.94
81,STORE_003,2025-02-08,Laptop,7,899.99,6299.93
82,STORE_002,2025-02-20,Laptop,8,899.99,7199.92
83,STORE_002,2025-02-24,Cuffie,1,29.99,29.99
84,STORE_002,2025-02-01,Cuffie,7,29.99,209.93
85,STORE_002,2025-02-14,Laptop,5,899.99,4499.95
86,STORE_001,2025-02-08,Mouse,2,19.99,39.98
87,STORE_002,2025-02-07,Mouse,5,19.99,99.95
88,STORE_003,2025-02-25,Laptop,3,899.99,2699.97
89,STORE_001,2025-02-07,Monitor,3,199.99,599.97
90,STORE_003,2025-02-16,Cuffie,2,29.99,59.98
91,STORE_002,2025-02-11,Tastiera,1,49.99,49.99
92,STORE_001,2025-02-25,Monitor,2,199.99,399.98
93,STORE_001,2025-02-01,Cuffie,2,29.99,59.98
94,STORE_001,2025-02-22,Tastiera,7,49.99,349.93
95,STORE_002,2025-02-20,Mouse,7,19.99,139.93
96,STORE_003,2025-02-19,Mouse,4,19.99,79.96
97,STORE_001,2025-02-16,Cuffie,7,29.99,209.93
98,STORE_003,2025-02-21,Cuffie,8,29.99,239.92
99,STORE_003,2025-02-20,Tastiera,8,49.99,399.92
100,STORE_001,2025-02-20,Mouse,7,19.99,139.93
