id_transazione,id_store,data,prodotto,quantita,unite_price,totale
1,STORE_002,2025-01-31,Cuffie,4,29.99,119.96
2,STORE_002,2025-01-14,Tastiera,8,49.99,399.92
3,STORE_002,2025-01-31,Mouse,4,19.99,79.96
4,STORE_002,2025-01-03,Mouse,4,19.99,79.96
5,STORE_002,2025-01-29,Monitor,6,199.99,1199.94
6,STORE_002,2025-01-03,Cuffie,7,29.99,209.93
7,STORE_002,2025-01-07,Mouse,1,19.99,19.99
8,STORE_002,2025-01-18,Laptop,9,899.99,8099.91
9,STORE_002,2025-01-20,Laptop,8,899.99,7199.92
10,STORE_002,2025-01-11,Monitor,8,199.99,1599.92
11,STORE_003,2025-01-28,Mouse,5,19.99,99.95
12,STORE_003,2025-01-26,Monitor,5,199.99,999.95
13,STORE_002,2025-01-23,Monitor,6,199.99,1199.94
14,STORE_002,2025-01-02,Monitor,1,199.99,199.99
15,STORE_002,2025-01-01,Mouse,9,19.99,179.91
16,STORE_001,2025-01-18,Mouse,3,19.99,59.97
17,STORE_003,2025-01-31,Tastiera,6,49.99,299.94
18,STORE_001,2025-01-16,Monitor,2,199.99,399.98
19,STORE_003,2025-01-10,Monitor,6,199.99,1199.94
20,STORE_001,2025-01-01,Monitor,3,199.99,599.97
21,STORE_003,2025-01-15,Monitor,5,199.99,999.95
22,STORE_001,2025-01-01,Laptop,4,899.99,3599.96
23,STORE_001,2025-01-16,Mouse,1,19.99,19.99
24,STORE_003,2025-01-26,Monitor,4,199.99,799.96
25,STORE_003,2025-01-20,Mouse,8,19.99,159.92
26,STORE_003,2025-01-15,Cuffie,8,29.99,239.92
27,STORE_002,2025-01-30,Monitor,3,199.99,599.97
28,STORE_003,2025-01-05,Mouse,6,19.99,119.94
29,STORE_002,2025-01-01,Tastiera,2,49.99,99.98
30,STORE_001,2025-01-17,Monitor,8,199.99,1599.92
31,STORE_001,2025-01-05,Cuffie,6,29.99,179.94
32,STORE_003,2025-01-18,Monitor,2,199.99,399.98
33,STORE_003,2025-01-24,Mouse,3,19.99,59.97
34,STORE_002,2025-01-04,Laptop,9,899.99,8099.91
35,STORE_003,2025-01-03,Laptop,6,899.99,5399.94
36,STORE_002,2025-01-21,Monitor,1,199.99,199.99
37,STORE_003,2025-01-08,Laptop,4,899.99,3599.96
38,STORE_002,2025-01-03,Mouse,4,19.99,79.96
39,STORE_001,2025-01-21,Mouse,4,19.99,79.96
40,STORE_002,2025-01-16,Laptop,2,899.99,1799.98
41,STORE_002,2025-01-25,Monitor,8,199.99,1599.92
42,STORE_002,2025-01-30,Mouse,7,19.99,139.93
